Length(cm),80.65,67.51,45.21
T1(s),17.90,15.94,13.10
T2(s),17.82,15.94,13.27
T3(s),17.94,16.00,13.32
T4(s),17.87,15.93,13.21
T5(s),17.91,16.01,13.32
T_average(s),17.89,15.96,13.24
G(m/s^2),9.950,10.46,10.18
Error of G,1.5%,6.7%,3.8%

simple pen. 1,length(cm),1,2,3,4,5,avg,exp.,theo.,error percentage(%)
10T(s),41.4,13.09,13.14,12.89,13.07,12.93,13.024,9.635434483,9.81,1.779465001
10T(s),25.9,10.6,10.67,10.46,10.07,10.53,10.466,9.334650025,9.81,4.845565498
